Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Revenue_Million_USD
2023,5,Europe,Model S,17646,17922,92874.27,120,704,1863.42,Interpolated (Month),12207,1638.859368
2015,2,Asia,Model X,3797,4164,62205.65,75,438,249.46,Official (Quarter),7640,236.1948531
2019,1,North America,Model X,8411,9189,117887.32,82,480,605.59,Interpolated (Month),14071,991.5502485
2021,2,North America,Model 3,6555,7311,89294.91,120,712,700.07,Official (Quarter),9333,585.3281351
2016,12,Middle East,Model Y,12374,13537,114846.78,120,661,1226.88,Estimated (Region),8722,1421.114056
2020,4,Asia,Model X,4656,5043,86930.57,82,477,333.14,Official (Quarter),5798,404.7487339
2015,11,Asia,Model 3,7717,7976,87588.21,82,475,549.84,Interpolated (Month),9961,675.9182166
2020,6,Europe,Cybertruck,8410,9192,73815.61,100,592,746.81,Official (Quarter),8216,620.7892801
2022,4,Europe,Model S,15145,15760,69993.86,100,563,1279,Interpolated (Month),13264,1060.05701
2021,3,Middle East,Model Y,7790,8208,50591.6,82,485,566.72,Interpolated (Month),3383,394.108564
2020,11,Asia,Model 3,8319,9154,117946.76,120,670,836.06,Estimated (Region),10165,981.1990964
2025,5,Asia,Cybertruck,5937,6483,78837.18,82,477,424.79,Interpolated (Month),14940,468.0563377
2020,10,Middle East,Model S,8724,9355,99200.65,82,453,592.8,Estimated (Region),5325,865.4264706
2020,11,Asia,Model S,10737,11658,78316.37,75,426,686.09,Interpolated (Month),5601,840.8828647
2020,4,North America,Cybertruck,4408,5007,91115.89,120,665,439.7,Estimated (Region),8397,401.6388431
2025,3,North America,Cybertruck,17079,18904,111739.13,120,682,1747.18,Official (Quarter),3904,1908.392601
2023,11,Europe,Model S,12540,13453,56018.16,100,592,1113.55,Interpolated (Month),11616,702.4677264
2020,7,Europe,Model S,16546,17888,97411.05,100,585,1451.91,Official (Quarter),14471,1611.763233
2017,1,Europe,Model S,6472,6810,57769.87,100,590,572.77,Estimated (Region),14372,373.8865986
2021,1,Asia,Model 3,7808,8183,102109.35,60,359,420.46,Interpolated (Month),8256,797.2698048
2019,5,Middle East,Model 3,13977,14319,57301.92,75,417,874.26,Official (Quarter),13525,800.9089358
2016,9,Asia,Model S,13993,14982,118537.35,60,349,732.53,Interpolated (Month),4515,1658.693139
2020,1,Asia,Model Y,11592,12383,90750.14,100,567,985.9,Official (Quarter),4971,1051.975623
2025,9,North America,Model S,17854,18489,80631.84,60,355,950.73,Interpolated (Month),5009,1439.600871
2022,4,North America,Model S,10056,11163,78773.3,120,681,1027.22,Estimated (Region),7885,792.1443048
2025,3,Middle East,Cybertruck,5209,5621,65114.79,100,594,464.12,Estimated (Region),4024,339.1829411
2016,12,North America,Cybertruck,5224,5657,87919.34,100,588,460.76,Estimated (Region),13003,459.2906322
2022,5,Europe,Model 3,12541,13898,56168.86,120,710,1335.62,Official (Quarter),11787,704.4136733
2017,6,North America,Model X,6312,6933,117797.61,75,435,411.86,Interpolated (Month),3923,743.5385143
2023,11,North America,Model S,12717,12755,96953.2,60,344,656.2,Estimated (Region),7161,1232.953844
2016,10,Asia,Model S,16449,17908,99184.36,82,460,1134.98,Official (Quarter),9148,1631.483538
2024,1,Middle East,Model X,15387,16070,88150.59,100,561,1294.82,Official (Quarter),8327,1356.373128
2020,9,Middle East,Model S,9326,10117,100029.16,100,596,833.74,Official (Quarter),13947,932.8719462
2023,5,Middle East,Cybertruck,11531,12204,85790.7,60,357,617.49,Estimated (Region),13491,989.2525617
2024,1,North America,Model 3,3819,4249,91284.57,82,482,276.11,Official (Quarter),8146,348.6157728
2015,3,Middle East,Model 3,1899,2125,68958.26,60,343,97.7,Estimated (Region),3941,130.9517357
2023,3,Europe,Model S,17330,18767,67727.18,82,490,1273.75,Estimated (Region),3343,1173.712029
2019,8,Asia,Model Y,15165,16539,94101.31,60,342,777.96,Interpolated (Month),4731,1427.046366
2017,12,Europe,Model S,13031,13160,51340.88,60,354,691.95,Official (Quarter),9296,669.0230073
2023,6,Europe,Model S,13583,14019,55191.14,100,594,1210.25,Estimated (Region),13172,749.6612546
2022,7,Europe,Model S,11182,11651,57416.91,60,333,558.54,Estimated (Region),6494,642.0358876
2019,4,Asia,Model X,11163,12314,69143.22,82,481,805.41,Estimated (Region),3619,771.8457649
2023,1,North America,Model S,9835,9882,92861.79,82,480,708.12,Interpolated (Month),8000,913.2957047
2017,8,Asia,Model X,7581,8402,95971.06,100,585,665.23,Official (Quarter),3100,727.5566059
2025,1,North America,Model X,6076,6746,50549.14,120,692,630.69,Official (Quarter),12525,307.1365746
2018,12,North America,Cybertruck,8427,9430,115869.46,82,476,601.69,Estimated (Region),11899,976.4319394
2024,5,North America,Cybertruck,14312,14795,83375.67,60,333,714.88,Estimated (Region),7740,1193.272589
2021,2,Middle East,Model 3,14163,14499,98168.24,100,556,1181.19,Interpolated (Month),8104,1390.356783
2025,9,North America,Model 3,11340,11791,81180.36,60,351,597.05,Estimated (Region),7510,920.5852824
2025,11,Europe,Cybertruck,9171,10536,97489.87,100,586,806.13,Interpolated (Month),5555,894.0795978
2024,9,Asia,Model X,8409,8777,103557.81,100,588,741.67,Official (Quarter),6509,870.8176243
2016,9,Europe,Model X,14559,15638,107977.45,60,340,742.51,Official (Quarter),5085,1572.043695
2024,2,Asia,Cybertruck,17392,19926,55857.67,75,446,1163.52,Interpolated (Month),4513,971.4765966
2015,3,North America,Cybertruck,5716,6522,116775,60,357,306.09,Interpolated (Month),7441,667.4859
2015,4,Asia,Model Y,7633,8492,102818,82,455,520.95,Estimated (Region),13830,784.809794
2018,7,North America,Model S,7131,8189,97902,82,489,523.06,Official (Quarter),4710,698.139162
2025,3,Asia,Model X,11956,13742,58158.12,120,710,1273.31,Estimated (Region),8997,695.3384827
2017,4,Asia,Cybertruck,5651,5846,50103.17,75,439,372.12,Interpolated (Month),14602,283.1330137
2018,8,North America,Model X,1240,1336,112760.23,82,459,85.37,Official (Quarter),3270,139.8226852
2025,5,North America,Model X,11008,11674,110366.63,75,419,691.85,Estimated (Region),9530,1214.915863
2022,12,Europe,Cybertruck,8171,9073,60650.35,82,488,598.12,Official (Quarter),13713,495.5740099
2018,2,Middle East,Cybertruck,15273,15975,52818.06,100,579,1326.46,Estimated (Region),7772,806.6902304
2021,5,Asia,Model S,9541,9929,109857.66,100,567,811.46,Official (Quarter),14676,1048.151934
2018,5,Asia,Model S,5894,6491,77715.61,120,705,623.29,Estimated (Region),8450,458.0558053
2015,7,North America,Cybertruck,4405,4472,60700.14,60,337,222.67,Official (Quarter),4928,267.3841167
2021,8,North America,Model S,7933,8430,85597.72,82,470,559.28,Official (Quarter),6248,679.0467128
2024,8,Europe,Model 3,11880,13074,62262.24,75,430,766.26,Estimated (Region),10781,739.6754112
2020,3,North America,Model X,11918,13671,60898.48,60,336,600.67,Interpolated (Month),5541,725.7880846
2019,1,North America,Model 3,13075,13668,87272.96,120,693,1359.15,Estimated (Region),10206,1141.093952
2015,4,Asia,Model S,13598,15097,106243.67,100,564,1150.39,Official (Quarter),5129,1444.701425
2019,4,Middle East,Model X,13892,15134,101770.68,100,560,1166.93,Interpolated (Month),13099,1413.798287
